Make,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Age
Honda,505000,87150,Petrol,Manual,Pune,Grey,First,Corporate,1198,87,109,FWD,3990.0,1680.0,1505.0,5.0,35.0,8
Maruti Suzuki,450000,75000,Diesel,Manual,Ludhiana,White,Second,Individual,1248,74,190,FWD,3995.0,1695.0,1555.0,5.0,42.0,11
Hyundai,220000,67000,Petrol,Manual,Lucknow,Maroon,First,Individual,1197,79,112,FWD,3585.0,1595.0,1550.0,5.0,35.0,14
Toyota,799000,37500,Petrol,Manual,Mangalore,Red,First,Individual,1197,82,113,FWD,3995.0,1745.0,1510.0,5.0,37.0,6
Toyota,1950000,69000,Diesel,Manual,Mumbai,Grey,First,Individual,2393,148,343,RWD,4735.0,1830.0,1795.0,7.0,55.0,7
Maruti Suzuki,675000,73315,Petrol,Manual,Pune,Grey,First,Individual,1373,91,130,FWD,4490.0,1730.0,1485.0,5.0,43.0,8
BMW,2650000,75000,Diesel,Automatic,Coimbatore,White,Second,Individual,1995,188,400,AWD,4439.0,1821.0,1612.0,5.0,51.0,8
Skoda,1390000,56000,Petrol,Automatic,Mumbai,White,First,Individual,1798,177,250,FWD,4670.0,1814.0,1476.0,5.0,50.0,8
Nissan,575000,85000,Diesel,Manual,Mumbai,White,First,Individual,1461,84,200,FWD,4331.0,1822.0,1671.0,5.0,50.0,10
Hyundai,591000,20281,Petrol,Manual,Mumbai,Red,First,Individual,1197,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0,8
Renault,459999,22541,Petrol,Manual,Bangalore,Grey,First,Individual,999,67,91,FWD,3679.0,1579.0,1478.0,5.0,28.0,7
Maruti Suzuki,1075000,30672,Petrol,Automatic,Bangalore,Blue,First,Individual,1462,103,138,FWD,4490.0,1730.0,1485.0,5.0,43.0,6
Tata,1695000,20856,Diesel,Manual,Bangalore,Orange,First,Individual,1956,138,350,FWD,4598.0,1894.0,1706.0,5.0,50.0,6
Volkswagen,944999,41417,Petrol,Automatic,Bangalore,Grey,First,Individual,1197,103,175,FWD,3971.0,1682.0,1469.0,5.0,45.0,8
Maruti Suzuki,569000,11471,Petrol,Automatic,Bangalore,Red,First,Individual,998,67,90,FWD,3695.0,1600.0,1560.0,5.0,35.0,9
Maruti Suzuki,449000,3583,Petrol,Manual,Bangalore,Grey,First,Individual,796,47,69,FWD,3445.0,1515.0,1475.0,5.0,35.0,6
Maruti Suzuki,894999,21365,Petrol,Automatic,Bangalore,Grey,First,Individual,1197,82,113,FWD,3995.0,1745.0,1510.0,5.0,37.0,7
Maruti Suzuki,699000,30777,Petrol,Automatic,Bangalore,White,First,Individual,1197,82,113,FWD,3655.0,1620.0,1675.0,5.0,32.0,5
Hyundai,740000,60125,Petrol,Manual,Delhi,Silver,First,Individual,1591,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0,9
Maruti Suzuki,470000,2169,Petrol,Automatic,Mumbai,Grey,First,Individual,998,67,90,FWD,3565.0,1520.0,1564.0,5.0,27.0,5
Volkswagen,765000,60240,Petrol,Automatic,Bangalore,Brown,First,Individual,1197,103,153,FWD,4384.0,1699.0,1466.0,5.0,55.0,10
Hyundai,589000,13772,Petrol,Automatic,Bangalore,White,First,Individual,1086,68,99,FWD,3610.0,1645.0,1560.0,5.0,35.0,7
Hyundai,999000,27464,Petrol,Manual,Bangalore,Blue,First,Individual,998,118,172,FWD,3995.0,1770.0,1605.0,5.0,45.0,6
Maruti Suzuki,370000,47377,CNG,Manual,Delhi,Grey,First,Individual,998,58,78,FWD,3545.0,1490.0,1475.0,4.0,60.0,6
Maruti Suzuki,325000,23086,Petrol,Manual,Mumbai,Grey,First,Individual,1197,85,113,FWD,3775.0,1680.0,1620.0,5.0,43.0,12
Hyundai,1175000,36313,Petrol,Manual,Mumbai,Grey,First,Individual,1591,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0,6
